episode,reward
1,0.448294946598
2,0.177650793854
3,0.491437062038
4,0.473098829231
5,0.575005267627
6,0.814836928602
7,7.55459550267
8,-0.31537749506
9,22.2981081079
10,-1.30356233054
11,-1.00579104376
12,-0.18206453776
13,1.85745432473
14,-0.475627024105
15,16.3769563825
16,0.461083351809
17,0.250646956972
18,-0.45680852191
19,-1.89076402187
20,-0.158159166418
21,0.809707375137
22,0.220675773828
23,2.53006608722
24,0.707802340905
25,12.0930344097
26,1.81251830335
27,0.409540495007
28,2.03296694413
29,0.138256071365
30,4.22547486055
31,-1.01167575443
32,3.61272858298
33,1.61290154619
34,0.66433690308
35,0.0857002986744
36,-0.558158299219
37,0.187948415077
38,-0.262878098711
39,0.142958314157
40,-0.642946782204
41,1.41872163199
42,-1.32968991852
43,-1.58995438445
44,0.415576880406
45,0.799716071221
46,-0.617161260868
47,-0.624013655341
48,-0.0765797805797
49,-0.162453065484
50,-0.0918108301552
51,-0.615736594245
52,-0.623438122931
53,-0.361882096414
54,-0.125581617041
55,-0.250389552525
56,-0.228427471343
57,-0.178726335291
58,-0.187514114275
59,-0.213379418116
60,-0.255873469073
61,-0.177930620111
62,-0.163939372501
63,-0.182523788144
64,-0.224897314521
65,-0.165861714098
66,-0.240285278737
67,-0.161880595239
68,-0.0350738007146
69,4.63913406622
70,-0.163669286856
71,-0.170565618777
72,-0.11985773877
73,-0.251662395741
74,-0.150647927832
75,0.370857984691
76,-0.200353488199
77,-0.34600283842
78,-0.139975323467
79,-0.145776920374
80,0.207036873086
81,-0.0870218778074
82,-0.150560624229
83,-0.491426039094
84,-0.123819328655
85,0.640038218411
86,-0.473780360635
87,-0.717955314382
88,0.100703879137
89,68.6592119515
90,68.1812954059
91,68.5972767459
92,67.7963794024
93,68.0231879189
94,67.7911623369
95,66.3362806448
96,67.9209052413
97,67.9797137297
98,68.0961923589
99,69.952887194
100,68.5095981931
101,68.1183151142
102,67.1285578065
103,67.9954002907
104,69.0163230841
105,70.3024753322
106,67.8380926615
107,67.890654869
108,68.0713472075
109,69.3244025013
110,69.6944032849
111,68.3807567329
112,69.0154279289
113,69.5286916008
114,69.0012596254
115,69.8981574265
116,68.7236225149
117,68.8882067778
118,69.8949281515
119,67.9311769055
120,69.6480004735
121,67.9247570021
122,68.5101721619
123,67.9361119894
124,69.0027413402
125,67.9920969436
126,68.3163195164
127,67.8948995449
128,68.5980058359
129,69.413246698
130,69.2903265655
131,68.4079844054
132,68.0669572348
133,68.7348409817
134,69.9208097568
135,68.9214308428
136,67.9161376093
137,67.9848761602
138,68.7026737676
139,68.4967914741
140,68.077929555
141,67.9851714749
142,68.763194355
143,68.2829207112
144,67.7498981874
145,68.1291353211
146,68.1590725534
147,69.4552115575
148,69.1035066819
149,68.7874529551
150,67.8369122234
151,68.3771477861
152,68.0570373307
153,68.9208908626
154,67.9448062615
155,68.5168236663
156,68.0274810349
157,69.6201493278
158,68.2560239623
159,69.7960409389
160,67.9929010243
161,68.5109645824
162,69.1795604317
163,69.3626273045
164,69.522448333
165,68.0705178628
166,68.3672746941
167,67.9532325303
168,69.5271501287
169,67.9367306402
170,69.0808961777
171,67.9922598529
172,69.3635658335
173,67.8990395031
174,69.8128470266
175,68.2267500042
176,66.8221645758
177,68.7430313695
178,68.8854788145
179,68.5997871174
180,68.9126068845
181,69.1709566043
182,67.9813051269
183,67.9308298166
184,69.6603680588
185,69.9571648923
186,69.2062842575
187,67.9214797183
188,69.5375156305
189,67.9641957379
190,68.429550005
191,67.3361949506
192,67.9636029728
193,69.3711644336
194,68.8997979391
195,68.0767413982
196,68.07327899
197,68.0591088069
198,69.0513712183
199,68.6695275034
200,67.8152572499
