time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.30452434134e-08,-7.87118517347e-08,10.0004672391,6.28299889413,0.000106362423874,0.0,-7.72224968879e-06,-1.01924101856e-05,0.0155743665959,-0.0101855902587,0.00510148882997,0.0,408.73589138716255,409.1901671294221,409.9677982556895,409.06200608240164
0.12000000000000001,-4.65043779144e-06,-7.80407981823e-06,10.0075049771,6.28239297159,0.000614960998068,0.0,-0.000193178207406,-0.000318714859794,0.21899914867,-0.00992550947555,0.0144922101368,0.0,467.35176375675945,468.08288357178674,469.41326449741047,469.4335726282146
0.18,-3.28167222034e-05,-4.55862896372e-05,10.0237948354,6.28192965357,0.00185988815714,0.0,-0.000856637681361,-0.000994729416142,0.323971359393,-0.00364364230146,0.0309922308905,0.0,439.8961487350541,441.26012567764565,436.2296827075529,436.7539478321123
0.23999999999999996,-0.000133650568015,-0.000133610246586,10.0479936028,6.28224161455,0.00332145261948,0.0,-0.00269403083669,-0.00192955701671,0.482599557666,0.0187187896789,0.00581177580545,0.0,455.7658606557377,453.74926869667445,454.8599859129282,456.646999767905
0.3,-0.000372458201562,-0.000265878212349,10.0819876861,6.28288744742,0.00394373584276,0.0,-0.00532178566371,-0.0023701170162,0.650455435338,-0.0141486124028,0.0182097431782,0.0,457.75440039881653,458.73966755741213,459.44600714300384,456.8330760391469
0.36000000000000004,-0.000775894646832,-0.000416833229593,10.1235633333,6.28243543206,0.00451248453428,0.0,-0.00822116410857,-0.0027240919624,0.735347777265,0.00319109588052,-0.0204147317067,0.0,433.69509054784265,430.4391864525778,432.2665458285658,433.7251723018718
0.4200000000000001,-0.00138181357281,-0.000599034865164,10.176278938,6.28224303142,0.00340483963326,0.0,-0.0118244494437,-0.00334298570588,1.02162843013,-0.0207991341632,-0.0148143919079,0.0,493.10004906771815,493.5136229560592,493.6988856293621,491.92592184303555
0.48000000000000015,-0.00215882403061,-0.000823293111927,10.2406273491,6.28149828347,0.00197736941492,0.0,-0.0139713800596,-0.00423015988801,1.12322413987,0.000559014527092,-0.0556079374645,0.0,440.441479886767,437.05465248824987,437.3000620811185,439.07544030604896
0.5400000000000001,-0.00301894675308,-0.00110409858582,10.3064192598,6.28115586424,6.28183675718,0.0,-0.0144352875058,-0.00513876116555,1.06989172932,-0.022777608068,-0.055082539701,0.0,386.75622094237684,386.8031221600407,387.35021598102395,385.14964965079116
0.6000000000000002,-0.00384396383755,-0.00146113234845,10.3743180104,6.2798500785,6.27911361141,0.0,-0.0127528143999,-0.00690292890867,1.19327796307,-0.0198077716706,-0.0308791727876,0.0,444.4797857514292,446.4573439004059,445.2429367790826,445.48580331654625
0.6600000000000003,-0.0045136260289,-0.00195184846285,10.4499428713,6.27810795913,6.27747103161,0.0,-0.00938365639606,-0.00959387337579,1.32740302478,-0.0631099427446,-0.0211589874392,0.0,449.44149152590666,450.22833925889023,449.96567230636805,446.4461539563997
0.7200000000000003,-0.00495637785478,-0.00264496679008,10.5324134165,6.27498932605,6.27725520448,0.0,-0.00531349472083,-0.0138523144163,1.42150008264,-0.0358922269779,0.0184517963563,0.0,435.96484721775033,439.261718997448,434.8257791947974,437.09767178333715
0.7800000000000004,-0.00515658436984,-0.00365356907425,10.6207582765,6.27330142857,6.27833511861,0.0,-0.00147260638682,-0.0199596465886,1.5231972148,-0.0159325688628,0.0170764128557,0.0,439.509132786532,439.39507461155017,438.62874608835494,440.2827660876039
0.8400000000000004,-0.00515075204528,-0.00505437794382,10.7146824895,6.27213862916,6.27916683805,0.0,0.00157304791235,-0.0268373421705,1.60749417461,-0.0273629696603,0.00650144106946,0.0,433.96304839499584,433.07445123692804,435.3691791560354,434.4118541194911
0.9000000000000005,-0.00497653769053,-0.00689460319264,10.8137280379,6.27021131752,6.27967097465,0.0,0.0041886584814,-0.0346782399198,1.69389784657,-0.0439225860353,0.0119560677721,0.0,434.58990891131424,435.0467184146899,436.1460428979192,434.76043352685025
0.9600000000000005,-0.00465878427731,-0.0092400616872,10.9173788759,6.26771368467,6.28050873214,0.0,0.00632698228529,-0.0437513055249,1.7610254657,-0.0373929939556,0.0177006122152,0.0,428.4335860564694,428.92158978880224,429.47221276678675,430.0246372826463
1.0200000000000005,-0.00422524746196,-0.0122100099364,11.0270819882,6.26520682338,6.2813432925,0.0,0.00802069210494,-0.0554959619311,1.89552739204,-0.0524413234369,0.00497818531675,0.0,450.90104862402546,449.8720403870167,451.71136801293073,450.4953267269087
1.0800000000000005,-0.00370793301251,-0.0159150258122,11.1433650458,6.26185617412,6.28169272122,0.0,0.00919047891607,-0.0683249471326,1.98042455063,-0.0637037585735,0.00746365136645,0.0,435.90082717920484,436.1083699736197,435.75916580078876,434.8144984202554
1.1400000000000006,-0.00312345808263,-0.0205352609053,11.2681899084,6.25853218325,6.28163769703,0.0,0.0102560594865,-0.0860877262256,2.18003536162,-0.0425328523916,-0.0283943131431,0.0,472.1673517814072,469.39302403663885,470.77170116700637,472.4048741093919
1.2000000000000006,-0.00247136446222,-0.0261958614637,11.4010390573,6.25578504995,6.27992005931,0.0,0.0116465961375,-0.102852530203,2.24813011911,-0.0532449073867,-0.0290973010767,0.0,430.9957352271806,430.936061089281,432.27365357505533,431.3687313716008
